channel_name,category,subscribers
Bondowoso Gaming,Video games,1000000
Shafura Medina,Daily vlogs,1000000
Putri Isnari,Music & Dance | Daily vlogs,999000
Mas Char,Science & Technology | Education,998000
Abraham Samad SPEAK UP,News & Politics,998000
Alam Semenit,Animal & Pets,997000
Sandi Prayoga,Science & Technology | Education,997000
Ebleh Tv,Mystery,996000
Jr Muzzaki,Video games,996000
OTOMOTIF TV,Autos & Vehicles,995000
Den Dimas,Autos & Vehicles,994000
Panda Kitty,Video games,993000
Makaan Suka Suka,Food & Drinks | Travel,992000
MarioTeguhTV,Education,991000
CikyMicin,Video games,990000
ditto art,Design/art,990000
Azrealon,Daily vlogs | Video games,989000
Karni Ilyas Club,News & Politics,989000
Analisis Militer,Autos & Vehicles | Education,989000
Senior Anime New,Movies,988000
Nata Chanel,Video games,988000
Dapur Dina,Food & Drinks | Education,988000
Pon Pone,Video games,985000
Jemima Livia,Beauty | Health & Self Help,985000
Abilhaq & Seraldi,Daily vlogs,985000
Asnan,Video games,985000
SIMO SDSM,Education,984000
MATA S,Science & Technology,984000
Musanggg TV,Daily vlogs,983000
Tom MC Ifle,Education | Podcast,983000
Syila Syirah,Daily vlogs | Humor,983000
Jefri Hanafi,Show | Humor,982000
Bermain Official,Animal & Pets,982000
Keira Charma Fun,Music & Dance,982000
Santri Njoso,Music & Dance,981000
Mbah Purnomo,Video games,981000
Bangpin,Animation,978000
Jajanan Sultan,Toys,978000
Petualangan Alam Desaku,Daily vlogs,978000
Dr. Indrawan Nugroho,Education,977000
Ali Kribo,Daily vlogs | Music & Dance,977000
Chanel Hiburan,Science & Technology | Education,975000
Dahyani TV,Show | Humor,975000
Amanda Rawles,Daily vlogs | Beauty,973000
Mamah Nada,Food & Drinks,972000
Ayo Mikir,Science & Technology | Education,972000
Hi Wayy,Video games,971000
SKWAD Beauty,Education | Beauty,971000
Tika OLa,Daily vlogs,971000
Bulan Sutena,Daily vlogs | Music & Dance,971000
Resep Bunda Tika,Food & Drinks,971000
Titan Tyra,Daily vlogs | Travel,970000
Harief Fadilla,Autos & Vehicles,970000
Gyzenn FF,Video games,969000
TOMI KEKE,Daily vlogs | Food & Drinks,969000
aldisetiawan01,Daily vlogs,968000
HAZIQ CHANNEL,Education,968000
Eyzel Channel,Show | Humor,967000
Millenialzkece,News & Politics,967000
7Menit,Movies,966000
Aagym Official,Education,966000
Ebi Gamespot,Video games,964000
Sanca Records,Music & Dance,963000
ZURA14,Movies,962000
Alpacandy,Toys,960000
SUDUT PANDANG,News & Politics,960000
Kenuy,Toys,957000
Den Story,Video games,957000
channel Belajar,DIY & Life Hacks,957000
Air Gambut,Movies | Humor,957000
Lionar Bonjo,Fitness,957000
Kevin Kusuma,Food & Drinks,956000
Clara Osena,Movies | Humor,956000
Andy Lukito,Video games,955000
DAPUR RIRI,Food & Drinks,955000
Burhanudin Djafar,Video games,955000
Memfakta,Movies,955000
Expose Cisoka,Show| Humor,955000
NOBAR,Movies,954000
BroMike Team,Video games,954000
GUDANG KOMEDI,Toys,954000
Palkor Partner,Music & Dance,953000
Saham dari Nol,Education,953000
Mumuk & Eno,Daily vlogs,951000
Real Bang Sidz,Video games,951000
M HIDAYAT,Travel | Food & Drinks,950000
Mblo Rizki,Autos & Vehicles,949000
Yudist Gaming,Video games,949000
PRISKA AQUILLA,Food & Drinks,948000
Andy Franz,Autos & Vehicles,948000
Emak Egi,Animation,948000
ZAKI AL_farisi,Video games,947000
Bandot Production,Show | Humor,945000
Selontok Fish Official,Show| Humor,944000
OPRA Entertainment,Mystery,943000
Fanny Cynthia,Video games | Daily vlogs,942000
Putu Gaming,Video games,942000
prankpacarindo,Show,940000
Sabrina Chairunnisa,Fitness | Health & Self Help,939000
ACE X GAMING,Video games,938000
LEMBUR PAKUAN CHANNEL,Daily vlogs,938000
Ade Arga,Humor,937000
Matematika Hebat,Education,935000
Bastian S,Daily vlogs,934000
Riski Imo,Video games,933000
Gila Eksperimen,DIY & Life Hacks | Science & Technology,933000
Watch watch.,Science & Technology,933000
TEMAN TIDUR,Movies,932000
GD_Dhika,Video games,932000
CHECHE KITCHEN,Food & Drinks,932000
MrSpherical Indonesia,Animation,931000
Aqeela Calista,Daily vlogs,930000
PokoPow,Video games,930000
Resep Abi,Food & Drinks,929000
aaawarewolf,Movies,928000
EGO ADRIANO,Show | Humor,928000
Hyper Potatoes!!,Video games,927000
Fatya Biya,Beauty,927000
Ivana Meylanda,Daily vlogs,927000
Indonichea,Movies,926000
Rianiayan,Video games,926000
JLGaming,Video games,925000
Menjadi Manusia,Education,925000
Manda petualang,Animal & Pets,924000
Nabila Friends,Daily vlogs,923000
ILHAM 7s,Video games,922000
Azzaorabfn,Daily vlogs,921000
NGOBROL ASIX,Podcast,921000
Resep Masakan Simple,Food & Drinks,920000
Pastaz ID,Video games,919000
Zefa Gaming,Video games,919000
Hawi Bis,Video games,918000
Agus Ampolleng,Video games,918000
Vhiendy Savella,Daily vlogs | Music & Dance,917000
Bang speers,Animal & Pets,917000
Kawaii Indonesia,Daily vlogs   ,917000
Teori Anime Terpopuler,Movies,914000
BANG KUN,Daily vlogs ,913000
AZA KITCHEN,Food & Drinks,913000
Muh Yusuf Alfiyanto,Humor | Music & Dance,911000
Titi dan Tian,Daily vlogs | Food & Drinks,911000
Nindy Vers,Food & Drinks,910000
Pratama Family,Daily vlogs,910000
Masak yuk,Food & Drinks,910000
Wita Marantika,Movies,910000
THE BIG DUDI,Animal & Pets,909000
Garit Dewana,Video games,909000
Amanda Caesa,Daily vlogs,909000
Oyanio TV,Video games,909000
Layangan YK,Toys,908000
fannysabila official,Music & Dance,908000
Ridho Hanif,Animal & Pets,908000
Aziz Nurahman,Mystery,907000
Bima studio,Music & Dance,906000
Asti Kunyit,Daily vlogs | Toys,906000
GPX,Daily vlogs,905000
Microboy,Video games,905000
FC Se7en,Toys,905000
Truk Tronton Mainan,Toys,903000
Sherly Annavita Rahmi,Education,902000
Rius Vernandes,Travel,902000
Whizky LandS,Video games | Animation,901000
Channel Rusdy Oyag,Music & Dance,900000
Mr. Jack_tv,Autos & Vehicles,900000
MyNameIsMail,Autos & Vehicles,900000
Ali Bungsu,Daily vlogs | Humor,900000
Halodoc,Health & Self Help | Education,899000
Hungry Olivia ASMR,ASMR | Food & Drinks,899000
Mama Rieta,Daily vlogs | Food & Drinks,899000
Roy Kiyoshi,Mystery,897000
MimbarTube,News & Politics,897000
DroidLime,Science & Technology,896000
DOKTER FRANSISKA DI PERANCIS,Health & Self Help | Education,895000
Peachy Liv,Beauty | Education,894000
Andrysherly,Food & Drinks,894000
VYN Official,Video games,893000
Laurent Rando,Food & Drinks,892000
MAS YABI,Mystery,892000
Ardipitz,Movies | Daily vlogs,891000
Cacacia,Daily vlogs | Video games,891000
Dunia Ama,Animation | Video games,890000
The Princess Syahrini,Daily vlogs | Travel,890000
AMUZ CHANNEL,Animation | Video games,889000
Ayu Fajar,Beauty | Food & Drinks,889000
Cicii.laaaYT,Daily vlogs,889000
Praya Family,Daily vlogs,889000
Bang Junet,Mystery,888000
Syakir Daulay,Daily vlogs,888000
RRQ Skylar,Video games,887000
MasTrex Vlog,Movies,887000
Permesta Dhyaz,Daily vlogs,887000
Suara Chinoll,Sports,886000
Ferry Irwandi,Education | News & Politics,886000
kang opik d'sign,Design/art,885000
Cherie Callista,Music & Dance,884000
Dafa TubeHD,Food & Drinks,884000
FAMILY HOME STAY CAMPERVAN,Daily vlogs | Travel,883000
ige22,Video games,882000
Ary Gaming,Video games,882000
RANGGA JUANS,Beauty,880000
Harris Caine?AKA Virtual?,Animation | Video games,879000
Guru Juara,Education,879000
Enyo Channel,Food & Drinks | Music & Dance,879000
Lita Lito,Video games,878000
Babang Cinema,Movies,878000
nitavior,Daily vlogs | Food & Drinks,877000
NisNaz Channel,Daily vlogs   ,877000
Muhammad Sofi AW,Daily vlogs   ,876000
cuwass,Daily vlogs   ,876000
Ace Moviess,Movies,875000
Jipew,Daily vlogs | Travel,875000
Harajaki trik,Toys,873000
Asm Rider,Autos & Vehicles | Daily vlogs,873000
cookwithdriss,Food & Drinks,872000
Bli Gede Sugi,Toys,872000
VIET JCB,Toys,872000
Abdel Achrian,Food & Drinks | Podcast,872000
TV Jadul,Movies,872000
Koko Kuliner,Food & Drinks,872000
Christina Lie,Education | Podcast,872000
animasi official,Video games | Toys,871000
Plus26,Podcast,871000
Bobby Sant,Animal & Pets,870000
CloseTheDoor Clips,Podcast,870000
Ngomongin Politik,News & Politics,870000
AUDREY A,Animal & Pets,869000
ROBLOX TOPIC INDONESIA SHORTS,Video games,868000
The Sinathrya,Daily vlogs,868000
Sepasang Pir,Animation,867000
SUMAR ADI WIJAYA,Mystery,867000
BULE KW,Daily vlogs,867000
Mobil Pasir,Toys,866000
VICE Indonesia,Daily vlogs | Travel,866000
maz_adi2,Show| Humor,866000
Paleka TV,Daily vlogs,866000
Vira Vioura,Video games,865000
Topi Sihir Animation,Animation ,864000
Web Programming UNPAS,Science & Technology,864000
TANTRI ARDA,Daily vlogs | Music & Dance,864000
Truk Oleng 77,Toys,863000
Maudy Ayunda,Travel | Podcast,863000
Street Foods Village,Food & Drinks,862000
Ngomongin Uang,Education,861000
Randy Dongseu,Music & Dance,861000
Sibungbung Official Channel,Food & Drinks,859000
Bang Dinar,Education | Animal & Pets,859000
Resky02 Official,Video games,859000
Teman Tapi Menikah,Daily vlogs | Travel,859000
Mobil Kembar Play,Toys,859000
MONOY TV,Animation,859000
Reyzore,Video games,858000
Eliza Perkasa,Food & Drinks,858000
Fajar Dikifi,Animation,858000
Dapur Mamah Hawa,Food & Drinks,857000
Sarang Demit,Movies,856000
Nata Animation,Animation | Mystery,856000
Mr Daniel Wille,Daily vlogs,856000
Farah Quinn,Food & Drinks,855000
RADIO MALAM ID,Movies,854000
Nugroho Febianto,Travel,854000
DARK BORNEO,Science & Technology,854000
Mamank Kuliner,Food & Drinks,854000
Inspect History,Animation,854000
Rabbanians ID,Education,853000
Dandi Malik Abdulloh,Autos & Vehicles | Daily vlogs,852000
Feby & Sheren Panjaitan,Music & Dance,852000
Razz Gaming,Video games,851000
Dendi Komara Railfans ID,Animation,850000
mbok midut,Food & Drinks,849000
iFixied,Science & Technology,848000
David2001,Video games,847000
Bro View,Movies,847000
Joe Kal,Mystery,847000
Gila Game,Video games,847000
BANG GAPTEK ID,DIY & Life Hacks,845000
Mama Punya Cerita VLog,Food & Drinks,845000
Pipin Goldfish,Food & Drinks,844000
Raymaka Channel,Toys,844000
Beni Nugraha,Sports,841000
Agus Riansyah74,Music & Dance,841000
Billy Joe Ava,Music & Dance,840000
juanda faisal,Animal & Pets,839000
saepul wae,Mystery,839000
Asel Saputra,Daily vlogs,838000
fathur anggara,Movies,838000
Cuma Jokes,Humor | Animation,837000
GEN HALILINTAR EDU,Daily vlogs | Family & Parenting,837000
Abie Hanum,Animation ,837000
skinnyfabs,Music & Dance,837000
Yeni Inka Channel,Music & Dance,836000
HADRAH SYUBBANUL MUSLIMIN,Music & Dance,836000
Panny Fransiska,Daily vlogs,836000
Adi Candra,Travel | Movies,835000
Mommy Bintang,Music & Dance,835000
Hai BangDeen,Video games,835000
Penyuluh Pertanian Lapangan,Education,835000
BIG Course,Education,835000
asrorkhb,Mystery,835000
Tuying Wd,Daily vlogs,834000
NAJA HUDIA,Education | Daily vlogs,834000
Fantasi Film 21,Movies,833000
Astronacci International,Education,832000
Hanggini P. Retto,Music & Dance,832000
Rico Huang,Education,832000
Los Manados,Animation | Video games,831000
Jason JE,Animation | Video games,831000
Felipe Valdés,Daily vlogs,831000
Livander Gamedev,Animation | Video games,830000
Ananda Wahyu,Movies,830000
Chef Supri,Food & Drinks,830000
Nabila Aulia Channel,Animation,830000
Cgit Einsteins,Show,830000
Hobby Masak,Food & Drinks,829000
JPCC Worship,Music & Dance,829000
Jejak Backpacker,Mystery | Podcast,828000
Larics Toys Review,Toys,828000
Winter Family,Daily vlogs,828000
Rauntzent,Video games,827000
KEMENDIKBUD RI,Education,827000
surgatoon,Animation,827000
TukanGGaming,Animation | Video games,827000
Tawakal tv,Movies,827000
Rendra Polapike,Humor,826000
Rumah Kucing Ifan.,Animal & Pets,826000
KangDimas TV,Video games,825000
Tirta PengPengPeng,Health & Self Help,825000
Quinn Salman,Music & Dance,825000
Nauval,Education,825000
Maswendix,Design/art,824000
TirtaMedia,Music & Dance,824000
LBDJS OFFICIAL CHANNEL,Music & Dance,824000
MYtakesilo,DIY & Life Hacks | Movies,824000
Peanut Butter,Animation,823000
Kang Munir,ASMR | Food & Drinks,823000
Nurrohman Offcx,Animation,823000
Mama Ci Memasak,Food & Drinks,822000
Justinus Lhaksana,Sports,822000
Muhammad Hanif Hasballah,Food & Drinks | Travel,821000
Tommy Kaganangan,Music & Dance,821000
ARN FF,Video games,820000
Limbad Indonesia,DIY & Life Hacks | Daily vlogs,820000
Azquera Quinn Nabila,Daily vlogs | Family & Parenting,820000
Viper Kediri,Mystery,820000
Sang Dewi Banyu,Humor,820000
Yesha Studio,Movies,820000
Fey Daily Life,Daily vlogs,819000
Gita Wirjawan,Education,819000
NOICE,Podcast,819000
Kulo Rendy,Animation,819000
deridestoni,Daily vlogs | Mystery,819000
Cute Family Stories,Humor | Animation,819000
Kiky Saputri Official,Daily vlogs,818000
Joker Ganas,Mystery,818000
ARUMI FAMILY,Family & Parenting,818000
Moch Maqie,Music & Dance,818000
YtCrash Muslim,Education,818000
Lu??_FF,Video games,817000
PETUALANG GAIB CHANNEL,Mystery,816000
Den JC,DIY & Life Hacks ,816000
Breakdown Channel Universe,Movies,816000
BANG BOY GAMING,Animation,816000
DAKAROSA TOLE,Humor,816000
Gita VBPR,Fitness,816000
Lorong Misteri,Mystery,815000
Lalajo Laura,Video games,815000
The Zidan Family,Video games,815000
Afi Udin,ASMR | Food & Drinks,814000
Icha receh,Animation,814000
ILLANK Adventure,Animal & Pets,814000
denise chariesta,Daily vlogs,813000
Aznovara Al Abshor,Daily vlogs,813000
Keisha Kiara Toys,Toys,813000
Pak Dhen,Education,812000
Raja Video ID,Travel,811000
Saksakku,Video games,811000
Baiq Yanti,Daily vlogs,811000
Payung Teduh Official,Music & Dance,811000
One Pride MMA,Sports,811000
Katahati Project,Daily vlogs,811000
Haqi Official,Music & Dance,809000
Agakenyang,ASMR | Food & Drinks,809000
°Andini Official°,Animation,808000
Fauzan N.Q,Daily vlogs | Humor,808000
Reyju Gaming,Video games,808000
CB Official,Movies,808000
Footy Focus,Sports,807000
TRPHB Animation,Animation,807000
ANDRE TREZER,Music & Dance,807000
Dalang Seno,Show | Music & Dance,807000
Eno Bening,Podcast,807000
Metz Chou,Video games,806000
Kayess,Daily vlogs,805000
Tasik Ngaji,Education,805000
Shandy Luo,Humor,804000
Cinta Laura Kiehl,Daily vlogs | Music & Dance,803000
Birul Hands,Video games | Animation,803000
Idetrik,DIY & Life Hacks,803000
Heri and Kids,Humor,802000
Cageng,Movies,802000
Kakatoo,Music & Dance | Animation,802000
Randy25 Gaming,Video games,802000
Ununk Aurel Heriyadi,Design/art,802000
Mas Ayyas,Movies,800000
Arlida Putri Official,Music & Dance,800000
bangkiwil,Humor,800000
Kang Ari - ngaji online,Education,800000
REND STORY,Humor,799000
RemanRHN,Video games | Animation,799000
AIRRIU EDUVENTURE,Travel,799000
fxpandu7,Video games,798000
Sandiuno TV,Daily vlogs,798000
Tobi Nolep,Video games,798000
Sijokervin Kylevin_,Show,798000
Satisfying Asmr,ASMR,797000
Wais Alqorni,Food & Drinks,797000
Sandi Records Digital,Music & Dance,797000
Jisaaa Kun,Humor,797000
Nano Bukan Permen,Humor,797000
Cute Meow,Animation,797000
Mobil Turun,Toys,796000
Mboke Memey,Daily vlogs,796000
Mas Owdy,Music & Dance,796000
NoMulify,Animal & Pets,796000
syila,Music & Dance,796000
Karaoke Nostalgia,Music & Dance,795000
Bi Marbi,Video games | Animation,795000
Diera nathania,Daily vlogs,795000
Ayu TingTing,Daily vlogs,795000
KINCIR Esports,Podcast,794000
Edu-Vid,Education,794000
Mie Rebus,Food & Drinks,794000
aminahSakuraOfficial,Animation,793000
SnackVideo Olahraga Official,Fitness,793000
Althaf Motovlog#KP,Daily vlogs,792000
LYCAN - Bahasa Indonesia,Movies | Animation,792000
Ruwet TV,Humor,791000
Rian Zonk,Humor,790000
Syafira TV,Daily vlogs | Travel,790000
Halosehat,Health & Self Help,790000
Cetakgol IDN,Sports,790000
Raja Ryzal Kelayang,Mystery,790000
morganlorentz,Animation,790000
HM MEDIA,Music & Dance,790000
RASTAVORIA,Music & Dance,789000
kingabdi_jajanmercon,Food & Drinks,789000
MUSIK44 DJ,Music & Dance,788000
in JONESIA,Show,788000
Lucu Humor,Humor,788000
Asis Ucus,Humor,787000
Musik Slank,Music & Dance,787000
Rohmah ima,Movies,787000
Darman Story,Video games,787000
Yt Khadafi,Video games,786000
Milk Tea 2,Animation,786000
UMMASHAFANA,Animation,785000
Vins Media V2,Video games,785000
khoward19,Animation,785000
FORTUNA ENTERPRISE,Music & Dance,784000
Ruby quinza,Humor,784000
saiken_,Animation,784000
Alphiandi,Humor,783000
Trio Strong Family,Family & Parenting | Daily vlogs,783000
Arsenio Toys,Toys,782000
United Roblox of Indonesia,Video games,782000
Baraa15,Video games,782000
TERROR FANG,Animation,782000
Twomannn,Daily vlogs,782000
CINEMA METAVERSE,Animation,782000
MantanProGamer,Video games | Animation,782000
Intan Rifqi Official,Daily vlogs,781000
Kanal Anak Bangsa,Podcast,780000
Pen Invasion,Design/art | Mystery,780000
Maryam Abdullah,Family & Parenting | Daily vlogs,780000
Falkro,Video games | Animation,778000
GT Action Games,Video games | Animation,778000
Kuat Novianti,Humor,777000
Sedya Isty,Animation,777000
Pisyang Gaming,Video games | Animation,777000
Sanggar Cemara,Show,777000
rc komuniti,Autos & Vehicles | Toys,777000
Jala Petualang,Travel | Education,776000
Fiqi Amd,Video games,776000
Edy Art Studio,Design/art,776000
Official CahMending,Humor,776000
Jazirah Ilmu,Education | Movies,775000
Papi Reyn,Animation,775000
Firmankidd,Animation,775000
Dinar Genji,Video games | Animation,775000
OSPRO MUSLIM CHANNEL,Music & Dance,775000
UDO PARNO,Science & Technology,775000
HAFIZ ARSYAD,Daily vlogs,775000
Uwais Chanel,Show,775000
Bebiraira Channel,Music & Dance,774000
Taufiqi Hidayatulloh,Education | Animation,774000
Musik Indonesia,Music & Dance,774000
Ona Hetharua Channel,Music & Dance,773000
Rama Channel,Humor,773000
Galang Al fatih,Humor | Movies,773000
Andy Sugar,Humor | Daily vlogs,772000
Elangmaut Indonesia,Education,772000
Amih Hindarsih,Education,772000
Craft and Makeup,Animation | Beauty,772000
WOA - Indonesian Fairy Tales,Movies | Animation,771000
DPM Evergreen Station,Music & Dance,771000
Galery Sam Boncil Official,Humor | Show,771000
RATATA POWER Indonesian,DIY & Life Hacks,771000
Very_Cooll,Humor ,770000
Rama TUBE,Video games,770000
Dokter Fery TV,Health & Self Help | Education,770000
Dansing,Toys,769000
Ardy STW,Video games,769000
Harry Parintang,Music & Dance,769000
Golden Octopus,Animation,768000
TAMAN SURGA,Education,768000
Ryanares kitchen,Food & Drinks,767000
LUCU AJA BOLEH,Movies | Humor,767000
Pixel ART,Design/art,766000
RandyMiciMoci,Animal & Pets,766000
Sodrak Ku,Daily vlogs | Humor,766000
KUSRIYANI,Video games,766000
Pemuda Hijrah,Education,766000
Mikael TubeHD FANS,Daily vlogs,766000
Dondy Tan,Education | Podcast,765000
Tommy Handoko,Animation,765000
Mahalini,Music & Dance,765000
Remaja Sukses,Education,765000
Kakak Kelas,Animation,763000
Agak Laen Official,Humor | Podcast,763000
Indonesian Football e-League,Sports,762000
VIDI,Music & Dance,762000
MelSickScreamoAnnie,Music & Dance,762000
Imaama Official,Daily vlogs,762000
Watch Me cerita,Show,762000
Kerajinan Terniat,DIY & Life Hacks,761000
Kazafa Channel,Daily vlogs,761000
DAILY TIKA WEIXUN DI CHINA,Daily vlogs,761000
SENAR GAPUK,Travel | Education,761000
YENNY DI CHINA,Education | Daily vlogs,761000
SANDEKAR ST,Education ,761000
rafiqul fahmi,Music & Dance,761000
MUARA BINTANG,Music & Dance,760000
Dona Jamin,Humor,759000
Sana Sini Video,Movies | Humor,759000
Ignasius Ryan,Education ,759000
KLAKLIK,Movies,758000
Prestige Productions,Autos & Vehicles,758000
Angga Mzrbest,Video games,757000
Rahmi Sri Ayu,Food & Drinks,757000
Gilang Luigi,Video games | Animation,757000
Cacao Cha,Animation,757000
hobby diy,DIY & Life Hacks | ASMR,757000
WortelGamingXd,Video games,756000
tentang hewan,Animal & Pets,755000
Firly Channel,Animation,755000
Jeje GuitarAddict,Music & Dance,754000
Mhavin,Video games,754000
m4th-lab,Education,754000
culoboyo,Animation,754000
XG KARAOKE MUSIC,Music & Dance,753000
DONA LEONE,Music & Dance,753000
Trio Ratu Family,Family & Parenting | Daily vlogs,753000
Rhenald Kasali,Education,752000
Cindi Cintya Dewi,Music & Dance,752000
Lintang Akayla,Daily vlogs,752000
Sweety Pie Channel,Animation,751000
kawan dapur,Food & Drinks,750000
KBN Nusantara,News & Politics,750000
John Adha,DIY & Life Hacks,750000
~RINACHANS~,Animation,749000
LOMBOK MULTIMEDIA,News & Politics,749000
Fens cw2 gaming,Video games,749000
AFTERSHINE Official,Video games,748000
el pranoob,Animation,748000
Cetakskor IDN,Sports,747000
KELUARGA MANURUNG,Daily vlogs,747000
Aida Afifah,Mystery,747000
Analiyana channel,Daily vlogs,747000
Jacqueline Bastiaan Wijaya Official,Daily vlogs  | Travel,747000
Lis Achmady,Food & Drinks,746000
Ramdany_Eka2,Music & Dance,746000
Judika Duma Family,Daily vlogs | Music & Dance,746000
DASA STUDIO,Music & Dance,746000
Teuku Iqbal Johard,Mystery,746000
Film Maker Muslim - FMM Studios,Movies,746000
REN,Video games | Animation,746000
Jose Aditya,Education,746000
Faza Media,Education,746000
Gamer Developer,Video games,745000
Agus Hadi,Toys,745000
Coilbook Indonesia,Animation,745000
Shinmaster,Video games | Animation,744000
Netralizer Ghost,Mystery,744000
Ade Sulistio,Music & Dance,744000
Entruv,Video games,744000
JunyTony - Cerita Dan Lagu Anak-Anak,Music & Dance,743000
Yogi Filioza,Movies,743000
Flora_Zone,Animation,743000
ANDI COBRA,Sports,743000
Rudi Gmg,Video games,743000
Harris Channel,Animation,742000
Dance Show,Music & Dance,742000
Anom Sukarno,Animation,741000
Klewesssss,Humor | Design/art,741000
Anisahar Channel,Animation,741000
GAMAL,Podcast,740000
ANICA NADA Channel,Music & Dance,740000
ApriNaLdyTM,Music & Dance,740000
Kayangan,Animation,740000
RawanaCerita,Movies,739000
Son Of Litnerd,Music & Dance,739000
MH Ayam Cuties,Animal & Pets,739000
Sielwan,ASMR,738000
Falls Melody Otodidak,Music & Dance,738000
RifpiX,Video games | Animation,738000
SNI ANIMATIONS,Animation,738000
BA MUSIK STUDIO,Music & Dance,737000
Selfi Yamma LIDA,Music & Dance,737000
GMJ MULTIMEDIA,Show | Music & Dance,737000
Lover Gaming,Video games,737000
Tina XL,ASMR | Food & Drinks,736000
Haris Pohan,Movies,735000
Najwa Daraini,Humor,735000
Salam Inspirasi,Education,735000
Aman alfarisii,Humor,735000
M story official,Humor,734000
Shine Of Black Official,Music & Dance,734000
Elvino Studio,Humor,733000
Budiono Sukses,Food & Drinks | ASMR,733000
BAV5,Sports,732000
Animal Defenders Indonesia,Animal & Pets,732000
Bob The Train Indonesia - Kartun & Lagu Anak Anak,Animation | Music & Dance,731000
Shanna Shannon,Music & Dance,731000
IKHSAN FT SHORTS,Design/art,731000
Rusman family,Humor | Daily vlogs,731000
Ranelsi Sumarta,Video games | Daily vlogs,731000
Govrin Ide Creative,DIY & Life Hacks,730000
Eko gamevideography,Music & Dance,729000
Den Imran Official,Food & Drinks | Humor,729000
KAKINA,Animation | Mystery,729000
Rindy Nella Krisna,Beauty,728000
RIO BARA BERE,Movies,727000
Mrs. Culinary,Food & Drinks,727000
UzeMing,Video games | Animation,727000
SKAK Studios,Mystery | Podcast,727000
Flambon Channel,Humor,727000
Bule Bolang,Travel,726000
ArtodiPro,Science & Technology,726000
Pria Seratus Persen,Animation,726000
Rayupinu,Food & Drinks,725000
Kepoin IT,Science & Technology,725000
GA Tv,Humor,725000
abidzar channel,Daily vlogs,724000
Islam Terkini,Education,724000
Akmal Tubs,Video games | Animation,724000
Ki mercon Official,Mystery ,724000
KELUD MUSIC,Music & Dance,723000
Miaw Animal Toys,Toys,723000
Captain Barbershop ID,Fashion,722000
Dunia Video,Movies,722000
XPOSURE MEDIA,Daily vlogs,722000
o.sychewa,Music & Dance,721000
Kuliner Hits!,Food & Drinks,721000
CBC Creative,Podcast,721000
JINISO Entertainment,Music & Dance | Fashion,721000
farelogic,Daily vlogs,720000
Arsitektour Indonesia,Design/art,720000
Republika Mahasiswa,News & Politics,720000
Sobat Dunia,Humor,720000
Dhanny Arman28,Video games,719000
Nas4rt Pedia,Animation | Design/art,719000
Hajar Pamuji,Movies,719000
Bangferena,Video games,719000
Matahatipemuda,Education,718000
Frislly Herlind Official,Daily vlogs,718000
Seps,Humor,718000
KYO2D Chanel,Video games,717000
YATEKNO.COM,Science & Technology,717000
Wita Nadia Dua,Daily vlogs | Music & Dance,717000
D Billions Indonesian,Music & Dance,716000
9 REFOCUS,Movies,716000
Caitlin Halderman,Daily vlogs | Music & Dance,716000
Masjid Raya Bintaro Jaya TV,Education,716000
Denden Gonjalez,Music & Dance,716000
the edukasi,Education,716000
Game Zone 17,Animation,715000
Rio Ardhillah,Daily vlogs | Mystery,715000
Sapidermen,Video games,714000
Zrone Gaming,Video games,714000
Tinta Mahabbah,Education,712000
Lenzi Mew,Video games ,712000
MineHezz,Video games ,712000
ayukk kuliner,Food & Drinks,712000
MUSIC VIZTA,Music & Dance,711000
Baqa Baga,Video games ,711000
BOCAH LINGGAU,Music & Dance | Animation,711000
GrdArena,Sports,710000
Zefanya Oyanio,Daily vlogs,710000
Fianmuh,Travel,710000
Women Generation,Movies,710000
Dzrf22_Craft,Video games ,709000
FunnyVibes23,Humor | Show,709000
Hajar Win,Design/art,709000
Kerajinan 5-menit DIY,DIY & Life Hacks,709000
Awit Tv,Food & Drinks,709000
Seepi & Ketty,Music & Dance | Animation,708000
MOMON VLOG MAX,Food & Drinks,708000
Bu Des Kempot,Daily vlogs,708000
coxii ARC,Video games,708000
Jessica Mila,Daily vlogs,708000
andi ss,Show ,707000
AKSEN MUSIK,Music & Dance,707000
AY FAMILY,Daily vlogs,707000
Dolewak,Animation,706000
Kang Batagor,Music & Dance,706000
Iwan Fals Music & Dancea,Music & Dance,706000
ANAS FIKRY,Daily vlogs,706000
Fransiska Tien,Food & Drinks,705000
Safira Inema [Official],Music & Dance,705000
Distrik Anime,Animation,705000
Kreator Kaligrafi,Design/art,705000
Tri Aditya,Music & Dance,705000
Sunny and Chris,Daily vlogs,705000
Pupuww,Video games,704000
Superbook Indonesia,Animation | Education,704000
Ferry Kesuma,Daily vlogs,703000
Sajian Sedap,Food & Drinks,703000
Sejarah Bola,Sports,703000
ELNINO MUSIC,Music & Dance,703000
Skibidi Style,Animation,703000
Restu Gaming,Video games ,702000
Pinasthika,Humor | Show,702000
Daunnet Media,Science & Technology ,702000
Steven Ivander,Mystery,701000
GNC MULTIMEDIA CHANNEL,Music & Dance,701000
Rs gaming,Video games | Animation,701000
Is170 Creators,Mystery,701000
Dunia Shinobi Official,Mystery,701000
It's Me Fayy,Animation,700000
drumNDRUM,Music & Dance,700000
Boruto Flash,Animation,699000
RESEP HERNIS,Food & Drinks,699000
Yoga Arizona,Show | Humor,699000
Kreatif Panda,DIY & Life Hacks,699000
YOSHIOLO,Fashion,698000
